Kecamatan,Desa,Kepadatan Penduduk,Hotel,Penginapan,Menara BTS,Bank Pemerintah,Bank Swasta,BPR,KUD,Kopinkra,Kospin,Koperasi Lainnya,Kelompok Pertokoan,Pasar Bangunan Permanen,Pasar Bangunan Semi Permanen,Pasar Tanpa Bangunan,Mini Market,Restoran,Jarak Pasar Ubud,Pasar Sukawati,Alun-Alun Gianyar,Tahun,Cluster,Kategori
Tampaksiring,Pejeng Kelod,1323.0,0,10,4,0,0,5,0,0,1,3,0,1,0,0,2,2,5.6,12.9,5.7,2023,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Pejeng Kangin,1448.0,1,8,4,0,0,5,0,0,0,8,0,0,0,0,3,1,7.8,16.2,9.0,2023,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Pejeng Kaja,1491.0,2,24,4,0,0,4,0,0,3,10,0,1,0,0,2,1,7.7,16.9,11.8,2023,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Sanding,1037.0,0,4,2,0,0,1,0,0,2,7,1,0,1,0,5,2,8.8,18.8,13.7,2023,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Tampaksiring,1320.0,2,8,4,3,0,7,0,0,0,13,5,1,0,1,14,6,12.7,22.7,16.9,2023,1,Cluster Desa Perlu Dibantu
Tampaksiring,Manukaya,843.0,0,7,5,0,0,10,0,0,4,13,2,1,0,0,6,6,14.8,24.8,19.0,2023,1,Cluster Desa Perlu Dibantu
Tegallalang,Keliki,1085.0,7,85,1,0,0,2,0,0,6,4,0,0,0,0,2,18,10.5,20.1,19.8,2023,1,Cluster Desa Perlu Dibantu
Tegallalang,Tegallalang,1224.0,4,18,6,2,0,7,0,0,7,11,4,2,1,1,11,20,8.7,18.3,17.9,2023,0,Cluster Desa Maju Pariwisata
Tegallalang,Kenderan,775.0,4,22,3,0,0,3,0,0,4,10,0,0,0,0,1,2,7.8,17.4,17.0,2023,3,Cluster Desa Potensial sebagai Pusat Pertumbuhan Ekonomi Baru
Tegallalang,Kedisan,835.0,0,15,2,0,0,5,0,0,9,7,0,0,0,0,3,7,13.2,25.2,20.2,2023,1,Cluster Desa Perlu Dibantu
Tegallalang,Pupuan,612.0,0,8,0,0,0,7,0,0,4,6,0,1,0,0,3,2,19.1,28.5,22.7,2023,1,Cluster Desa Perlu Dibantu
Tegallalang,Sebatu,805.0,3,30,4,0,0,9,0,0,19,9,2,1,1,0,8,10,14.5,24.1,22.0,2023,1,Cluster Desa Perlu Dibantu
Tegallalang,Taro,859.0,0,40,1,0,0,12,0,0,5,14,0,1,0,0,2,20,18.4,29.3,29.1,2023,1,Cluster Desa Perlu Dibantu
Ubud,Singakerta,1785.0,24,26,7,0,0,6,0,0,16,0,1,2,0,2,8,6,6.0,8.1,12.6,2023,0,Cluster Desa Maju Pariwisata
Ubud,Lodtunduh,1263.0,38,25,5,0,0,4,0,0,16,0,0,0,0,1,4,8,6.2,5.8,10.3,2023,0,Cluster Desa Maju Pariwisata
Ubud,Mas,2721.0,86,170,7,1,0,6,0,0,18,0,2,2,0,1,9,40,5.0,6.4,10.2,2023,0,Cluster Desa Maju Pariwisata
Ubud,Peliatan,2098.0,5,770,9,3,5,5,0,0,6,12,2,1,0,1,18,20,2.2,9.4,8.5,2023,0,Cluster Desa Maju Pariwisata
Ubud,Petulu,2966.0,32,144,1,1,4,4,0,0,10,0,2,0,0,0,5,16,2.9,12.5,12.1,2023,0,Cluster Desa Maju Pariwisata
Ubud,Ubud,1170.0,233,875,15,2,0,6,1,0,17,0,6,1,0,0,43,123,0.006,11.6,11.2,2023,0,Cluster Desa Maju Pariwisata
Ubud,Sayan,912.0,32,450,7,1,0,2,0,0,15,0,1,2,0,2,10,24,2.6,13.2,13.9,2023,0,Cluster Desa Maju Pariwisata
Ubud,Kedewatan,1868.0,55,46,2,1,0,5,0,0,14,0,1,0,1,1,9,28,4.9,16.4,17.4,2023,0,Cluster Desa Maju Pariwisata
