Kecamatan,Desa,Kepadatan Penduduk,Hotel,Penginapan,Menara BTS,Bank Pemerintah,Bank Swasta,BPR,KUD,Kopinkra,Kospin,Koperasi Lainnya,Kelompok Pertokoan,Pasar Bangunan Permanen,Pasar Bangunan Semi Permanen,Pasar Tanpa Bangunan,Mini Market,Restoran,Tahun,Cluster,Label
Tampaksiring,Tampaksiring,1320,2,8,4,3,0,7,0,0,0,13,5,1,0,1,14,6,2023,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Manukaya,843,0,7,5,0,0,10,0,0,4,13,2,1,0,0,6,6,2023,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Tegallalang,Keliki,1085,7,85,1,0,0,2,0,0,6,4,0,0,0,0,2,18,2023,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Tegallalang,Tegallalang,1224,4,18,6,2,0,7,0,0,7,11,4,2,1,1,11,20,2023,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Tegallalang,Kenderan,775,4,22,3,0,0,3,0,0,4,10,0,0,0,0,1,2,2023,2,Desa Tertinggal
Tegallalang,Kedisan,835,0,15,2,0,0,5,0,0,9,7,0,0,0,0,3,7,2023,2,Desa Tertinggal
Tegallalang,Pupuan,612,0,8,0,0,0,7,0,0,4,6,0,1,0,0,3,2,2023,2,Desa Tertinggal
Tegallalang,Sebatu,805,3,30,4,0,0,9,0,0,19,9,2,1,1,0,8,10,2023,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Tegallalang,Taro,859,0,40,1,0,0,12,0,0,5,14,0,1,0,0,2,20,2023,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Ubud,Singakerta,1785,24,26,7,0,0,6,0,0,16,0,1,2,0,2,8,6,2023,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Ubud,Lodtunduh,1263,38,25,5,0,0,4,0,0,16,0,0,0,0,1,4,8,2023,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Ubud,Mas,2721,86,170,7,1,0,6,0,0,18,0,2,2,0,1,9,40,2023,0,Desa Maju
Ubud,Peliatan,2098,5,770,9,3,5,5,0,0,6,12,2,1,0,1,18,20,2023,0,Desa Maju
Ubud,Petulu,2966,32,144,1,1,4,4,0,0,10,0,2,0,0,0,5,16,2023,0,Desa Maju
Ubud,Ubud,1170,233,875,15,2,0,6,1,0,17,0,6,1,0,0,43,123,2023,0,Desa Maju
Ubud,Sayan,912,32,450,7,1,0,2,0,0,15,0,1,2,0,2,10,24,2023,0,Desa Maju
Ubud,Kedewatan,1868,55,46,2,1,0,5,0,0,14,0,1,0,1,1,9,28,2023,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
