Kecamatan,Desa,Kepadatan Penduduk,Hotel,Penginapan,Menara BTS,Bank Pemerintah,Bank Swasta,BPR,KUD,Kopinkra,Kospin,Koperasi Lainnya,Kelompok Pertokoan,Pasar Bangunan Permanen,Pasar Bangunan Semi Permanen,Pasar Tanpa Bangunan,Mini Market,Restoran,Tahun,Cluster,Kategori
Blahbatuh,Saba,1499.0,0,28,3,0,0,5,0,0,6,3,0,0,0,0,5,5,2022,0,Cluster Desa Perlu Dibantu
Blahbatuh,Pering,1446.0,0,6,4,0,0,6,0,0,1,5,0,0,0,0,4,1,2022,0,Cluster Desa Perlu Dibantu
Blahbatuh,Keramas,2018.0,3,10,4,1,0,1,0,0,7,6,1,1,0,0,9,4,2022,0,Cluster Desa Perlu Dibantu
Blahbatuh,Medahan,1558.0,1,10,2,0,0,1,0,0,2,3,0,1,0,0,6,6,2022,0,Cluster Desa Perlu Dibantu
Blahbatuh,Bona,2113.0,0,3,3,0,0,1,0,0,2,9,1,1,0,0,1,0,2022,0,Cluster Desa Perlu Dibantu
Blahbatuh,Belega,2124.0,0,0,1,0,0,2,0,0,1,8,0,0,0,0,5,1,2022,0,Cluster Desa Perlu Dibantu
Blahbatuh,Blahbatuh,2278.0,0,4,4,1,1,7,1,0,5,12,1,2,0,1,8,3,2022,0,Cluster Desa Perlu Dibantu
Blahbatuh,Buruan,1652.0,0,0,1,0,0,14,0,0,17,0,0,0,0,0,6,2,2022,0,Cluster Desa Perlu Dibantu
Blahbatuh,Bedulu,2470.0,0,10,2,1,0,6,0,0,4,11,1,2,0,2,8,6,2022,0,Cluster Desa Perlu Dibantu
Gianyar,Lebih,3737.0,1,1,3,1,0,2,0,0,12,1,0,1,1,0,5,3,2022,0,Cluster Desa Perlu Dibantu
Gianyar,Tulikup,1616.0,1,1,6,0,0,2,0,0,12,1,1,1,0,0,6,3,2022,0,Cluster Desa Perlu Dibantu
