Kecamatan,Desa,Kepadatan Penduduk,Hotel,Penginapan,Menara BTS,Bank Pemerintah,Bank Swasta,BPR,KUD,Kopinkra,Kospin,Koperasi Lainnya,Kelompok Pertokoan,Pasar Bangunan Permanen,Pasar Bangunan Semi Permanen,Pasar Tanpa Bangunan,Mini Market,Restoran,Tahun,Cluster,Label
Gianyar,Temesi,1298.0,0,0,1,0,0,1,1,0,5,3,0,0,0,0,5,2,2021,2,Desa Tertinggal
Gianyar,Sidan,2557.0,0,0,4,0,0,1,0,0,1,7,0,0,2,0,2,2,2021,2,Desa Tertinggal
Gianyar,Samplangan,2114.0,0,6,2,0,0,4,0,0,5,2,0,1,0,0,6,1,2021,2,Desa Tertinggal
Gianyar,Serongga,3040.0,1,0,3,0,0,1,0,0,0,5,0,0,1,0,2,0,2021,2,Desa Tertinggal
Gianyar,Abianbase,1534.0,1,0,3,0,0,2,0,0,1,4,1,0,2,0,3,5,2021,2,Desa Tertinggal
Gianyar,Gianyar,6841.0,1,5,10,10,6,5,0,0,33,10,7,1,1,1,18,7,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Gianyar,Beng,2032.0,0,0,1,0,0,1,0,0,1,8,1,0,2,0,9,1,2021,2,Desa Tertinggal
Gianyar,Bitera,1782.0,1,0,2,1,0,4,2,0,4,7,0,1,0,0,1,4,2021,2,Desa Tertinggal
Gianyar,Bakbakan,1237.0,0,3,2,0,0,2,0,0,8,6,0,0,0,0,1,0,2021,2,Desa Tertinggal
Gianyar,Siangan,1795.0,0,7,3,0,0,5,1,0,5,6,0,0,1,0,2,0,2021,2,Desa Tertinggal
Gianyar,Suwat,854.0,0,0,0,0,0,2,0,0,2,4,0,0,1,0,1,0,2021,2,Desa Tertinggal
Gianyar,Petak,1271.0,1,2,1,0,0,5,0,0,2,2,0,0,0,1,0,1,2021,2,Desa Tertinggal
Gianyar,Petak Kaja,1252.0,0,0,2,0,0,3,0,0,4,1,0,0,1,0,3,0,2021,2,Desa Tertinggal
Gianyar,Sumita,1642.0,0,0,1,0,0,1,0,0,1,7,0,0,0,0,0,0,2021,2,Desa Tertinggal
Gianyar,Tegal Tugu,3452.0,0,0,2,0,0,1,0,0,5,2,0,0,0,0,1,0,2021,2,Desa Tertinggal
Payangan,Melinggih Kelod,963.0,4,8,2,1,0,4,0,0,1,8,0,0,0,0,2,2,2021,2,Desa Tertinggal
Payangan,Melinggih,1540.0,0,2,3,4,0,6,1,0,1,3,5,1,1,2,5,1,2021,2,Desa Tertinggal
Payangan,Kelusa,737.0,1,12,2,0,0,3,0,0,11,0,0,0,0,0,0,0,2021,2,Desa Tertinggal
Payangan,Beresela,934.0,1,7,1,0,0,1,0,0,0,5,0,0,0,0,2,3,2021,2,Desa Tertinggal
Payangan,Bukian,822.0,0,1,1,0,0,8,0,0,14,3,0,0,0,0,2,0,2021,2,Desa Tertinggal
Payangan,Puhu,435.0,4,0,2,0,0,6,0,0,6,1,0,1,0,0,3,0,2021,2,Desa Tertinggal
Payangan,Buahan,404.0,3,1,1,0,0,5,0,0,0,8,0,1,0,0,0,0,2021,2,Desa Tertinggal
Payangan,Buahan Kaja,416.0,0,3,1,0,0,8,0,0,0,2,0,1,0,0,0,0,2021,2,Desa Tertinggal
Payangan,Kerta,388.0,0,4,3,0,0,8,0,0,3,2,0,1,0,0,0,0,2021,2,Desa Tertinggal
Sukawati,Batubulan,3389.0,0,6,12,4,1,14,0,0,5,37,4,7,0,2,29,40,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Sukawati,Batubulan Kangin,2778.0,0,0,3,0,0,2,0,0,2,10,0,2,0,0,0,0,2021,2,Desa Tertinggal
Sukawati,Ketewel,1689.0,0,10,6,2,0,3,0,0,2,18,0,1,1,0,9,4,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Sukawati,Guwang,1440.0,0,1,2,0,0,1,0,1,1,10,1,2,0,0,4,3,2021,2,Desa Tertinggal
Sukawati,Sukawati,1762.0,0,10,4,6,1,9,1,0,3,19,3,5,0,2,5,27,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Sukawati,Celuk,1488.0,0,3,3,0,0,4,0,0,2,6,0,2,0,0,2,0,2021,2,Desa Tertinggal
Sukawati,Singapadu,1661.0,0,3,4,3,0,4,0,0,3,8,1,1,0,0,8,3,2021,2,Desa Tertinggal
Sukawati,Singapadu Tengah,1634.0,0,13,3,0,0,5,0,0,3,9,0,1,0,0,11,2,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Sukawati,Singapadu Kaler,1938.0,0,5,4,1,0,3,0,0,4,8,0,1,0,0,9,7,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Sukawati,Batuan,2168.0,0,14,2,0,0,4,0,0,3,24,2,1,0,0,2,3,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Sukawati,Batuan Kaler,1707.0,0,2,1,1,0,1,0,0,7,4,0,0,0,0,5,5,2021,2,Desa Tertinggal
Sukawati,Kemenuh,1380.0,2,92,3,0,0,7,0,0,5,15,3,1,0,0,5,9,2021,0,Desa Maju
Tampaksiring,Pejeng Kawan,1465.09,0,29,1,0,0,1,0,0,0,7,0,0,0,0,0,0,2021,2,Desa Tertinggal
Tampaksiring,Pejeng,2155.87,0,11,2,1,0,3,1,0,8,6,3,2,0,1,7,4,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Pejeng Kelod,1328.16,0,6,4,0,0,5,0,0,1,3,0,1,0,0,2,0,2021,2,Desa Tertinggal
Tampaksiring,Pejeng Kangin,1437.93,1,8,4,0,0,5,0,0,0,8,0,0,0,0,3,0,2021,2,Desa Tertinggal
Tampaksiring,Pejeng Kaja,1479.16,2,9,4,0,0,4,0,0,3,10,0,1,0,0,2,0,2021,2,Desa Tertinggal
Tampaksiring,Sanding,1029.82,0,4,1,0,0,1,0,0,2,7,1,0,1,0,3,1,2021,2,Desa Tertinggal
Tampaksiring,Tampaksiring,1317.74,2,3,4,4,0,7,0,0,0,13,5,1,0,1,13,6,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Tampaksiring,Manukaya,832.62,0,0,5,0,0,10,0,0,4,13,2,1,0,0,4,5,2021,2,Desa Tertinggal
Tegallalang,Keliki,1049.0,10,71,1,0,0,2,0,0,12,10,0,0,0,1,1,4,2021,0,Desa Maju
Tegallalang,Tegallalang,1930.0,4,12,6,2,0,8,0,0,7,11,7,2,1,0,12,10,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Tegallalang,Kenderan,838.0,3,30,3,0,0,3,0,0,10,4,0,0,0,0,0,0,2021,2,Desa Tertinggal
Tegallalang,Kedisan,1961.0,0,13,2,0,0,5,0,0,9,7,0,0,0,0,3,6,2021,2,Desa Tertinggal
Tegallalang,Pupuan,830.0,1,5,0,0,0,7,0,0,7,6,0,0,0,0,1,1,2021,2,Desa Tertinggal
Tegallalang,Sebatu,626.0,3,16,4,0,0,9,0,0,19,9,3,1,0,0,11,3,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Tegallalang,Taro,755.0,0,4,1,0,0,12,0,0,4,14,0,1,0,0,2,5,2021,2,Desa Tertinggal
Ubud,Singakerta,1517.0,10,17,5,0,0,6,0,0,1,15,0,2,0,2,10,3,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Ubud,Lodtunduh,1248.0,5,9,3,0,0,4,0,0,5,11,0,0,0,1,4,4,2021,2,Desa Tertinggal
Ubud,Mas,2692.0,15,99,5,1,0,6,0,0,7,15,1,2,0,1,11,37,2021,0,Desa Maju
Ubud,Peliatan,1738.0,4,99,9,2,4,5,0,0,6,12,2,1,0,1,17,20,2021,0,Desa Maju
Ubud,Petulu,2227.0,6,99,1,1,4,4,0,0,3,7,1,0,0,0,6,14,2021,0,Desa Maju
Ubud,Ubud,1632.0,29,99,8,2,2,6,1,0,5,14,21,1,0,0,33,99,2021,0,Desa Maju
Ubud,Sayan,1393.0,11,99,5,1,0,2,0,0,2,12,1,2,0,2,8,20,2021,0,Desa Maju
Ubud,Kedewatan,1576.0,12,33,3,1,0,6,0,0,7,7,5,0,1,1,8,22,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
