Kecamatan,Desa,Kepadatan Penduduk,Hotel,Penginapan,Menara BTS,Bank Pemerintah,Bank Swasta,BPR,KUD,Kopinkra,Kospin,Koperasi Lainnya,Kelompok Pertokoan,Pasar Bangunan Permanen,Pasar Bangunan Semi Permanen,Pasar Tanpa Bangunan,Mini Market,Restoran,Tahun,Cluster,Label
Blahbatuh,Saba,1493.0,0,28,3,0,0,5,0,0,6,3,0,0,0,0,5,5,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Pering,1428.0,0,6,4,0,0,6,0,0,1,5,0,0,0,0,4,1,2021,2,Desa Tertinggal
Blahbatuh,Keramas,2017.0,3,10,4,1,0,1,0,0,7,6,1,1,0,0,9,4,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Medahan,1569.0,1,10,2,0,0,1,0,0,2,3,0,1,0,0,6,6,2021,2,Desa Tertinggal
Blahbatuh,Bona,2113.0,0,3,3,0,0,1,0,0,2,9,1,1,0,0,1,0,2021,2,Desa Tertinggal
Blahbatuh,Belega,2113.0,0,0,1,0,0,2,0,0,1,8,0,0,0,0,5,1,2021,2,Desa Tertinggal
Blahbatuh,Blahbatuh,2278.0,0,4,4,1,1,7,1,0,5,12,1,2,0,1,8,3,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Blahbatuh,Buruan,1634.0,0,0,1,0,0,14,0,0,17,0,0,0,0,0,6,2,2021,2,Desa Tertinggal
Blahbatuh,Bedulu,2468.0,0,10,2,1,0,6,0,0,4,11,1,2,0,2,8,6,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Gianyar,Lebih,3731.0,1,1,3,1,0,2,0,0,12,1,0,1,1,0,5,3,2021,1,Desa Potensial Pusat Pertumbuhan Ekonomi Baru
Gianyar,Tulikup,1628.0,1,1,6,0,0,2,0,0,12,1,1,1,0,0,6,3,2021,2,Desa Tertinggal
